month,cadastre_raw_level,cadastre_smooth_level,cadastre_raw_abs_change,cadastre_raw_pct_change,cadastre_smooth_abs_change,cadastre_smooth_pct_change
2002-01-01,57254.12,57254.12,NA,NA,NA,NA
2002-02-01,57828.14399999999,57541.132,574.0239999999903,0.010025898572888492,287.01199999999517,0.005012949286444357
2002-03-01,59727.240000000005,58269.83466666667,1899.0960000000123,0.032840341547188734,728.7026666666716,0.012664030778307689
2002-04-01,60202.07099999999,59252.48499999999,474.83099999998376,0.007949990657528883,982.6503333333239,0.016863791341688028
2002-05-01,61565.85999999999,60498.39033333333,1363.7890000000043,0.022653522999233733,1245.9053333333359,0.021027056221073925
2002-06-01,62886.560999999994,61551.497333333326,1320.701000000001,0.021451840354378193,1053.1069999999963,0.017407190409490125
2002-07-01,65054.350000000006,63168.92366666666,2167.7890000000116,0.03447141910017959,1617.4263333333365,0.026277611486429597
2002-08-01,68411.35,65450.75366666667,3357,0.051603005794385703,2281.830000000009,0.03612266708929379
2002-09-01,71066.773,68177.49100000001,2655.4229999999952,0.038815532802670916,2726.737333333338,0.041660900456858
2002-10-01,75654.451,71710.85800000001,4587.678,0.06455447189082308,3533.3669999999984,0.05182600515469238
2002-11-01,77474.20199999999,74731.80866666666,1819.7509999999893,0.024053455889858855,3020.9506666666566,0.04212682362086162
2002-12-01,80439.584,77856.079,2965.3820000000123,0.03827573467617018,3124.270333333334,0.04180643275032736
2003-01-01,84014.62299999999,80642.803,3575.0389999999898,0.044443777829581865,2786.724000000002,0.035793274408283615
2003-02-01,88944.744,84466.317,4930.121000000014,0.05868170116052318,3823.5139999999956,0.04741296008770912
2003-03-01,93932.64,88964.00233333334,4987.895999999993,0.056078591895210694,4497.685333333342,0.05324827094489448
2003-04-01,95332.631,92736.67166666666,1399.9909999999945,0.014904201564014397,3772.669333333324,0.04240669522935536
2003-05-01,97327.956,95531.07566666667,1995.3250000000116,0.020930136712580705,2794.4040000000095,0.030132675130332798
2003-06-01,100010.68000000001,97557.089,2682.724000000002,0.02756375567981717,2026.013333333336,0.02120789825922853
2003-07-01,101942.845,99760.49366666668,1932.1649999999936,0.019319586668143707,2203.404666666669,0.022585797600691793
2003-08-01,105048.03799999999,102333.85433333334,3105.1929999999847,0.030460136756041978,2573.36066666666,0.025795388255245744
2003-09-01,107539.46699999999,104843.45,2491.4290000000037,0.02371704457726298,2509.5956666666607,0.024523611301614068
2003-10-01,108035.576,106874.36033333333,496.1090000000113,0.004613273748139468,2030.9103333333333,0.019370884240582864
2003-11-01,109861.43,108478.82433333332,1825.853999999992,0.01690048840948455,1604.4639999999927,0.015012618508272624
2003-12-01,111243.168,109713.39133333333,1381.738000000012,0.012577098259143549,1234.56700000001,0.011380718841554227
2004-01-01,114256.44000000002,111787.01266666668,3013.2720000000118,0.027087254473011857,2073.6213333333435,0.018900348518379406
2004-02-01,117046.19,114181.93266666667,2789.7499999999854,0.024416566803586504,2394.9199999999983,0.021423955635538006
2004-03-01,118544.63399999999,116615.75466666667,1498.4439999999886,0.012802159557692372,2433.822,0.021315298691826357
2004-04-01,120393.132,118661.31866666666,1848.4980000000069,0.015593265908602882,2045.563999999984,0.017541060432589184
2004-05-01,122966.84999999999,120634.87199999999,2573.7179999999935,0.021377614796166178,1973.5533333333296,0.016631816968740054
2004-06-01,124009.2,122456.394,1042.3500000000058,0.00847667481113823,1821.5220000000118,0.015099464771679116
2004-07-01,121800,122925.34999999999,-2209.199999999997,-0.017814807288491497,468.95599999999104,0.0038295754487103206
2004-08-01,122000,122603.06666666667,200,0.0016420361247948545,-322.2833333333256,-0.002621780888428016
2004-09-01,123600,122466.66666666667,1600,0.013114754098360715,-136.39999999999418,-0.0011125333460935138
2004-10-01,125500,123700,1900,0.0153721682847896,1233.3333333333285,0.010070767555797389
2004-11-01,127700,125600,2200,0.017529880478087678,1900,0.015359741309620034
2004-12-01,126200,126466.66666666667,-1500,-0.011746280344557603,866.6666666666715,0.006900212314224996
2005-01-01,131000,128300,4800,0.03803486529318545,1833.3333333333285,0.014496573537163826
2005-02-01,128600,128600,-2400,-0.018320610687022953,300,0.002338269680436378
