series_type,price_basis,lag_months,n_observations,pearson_corr,pearson_p_value,spearman_corr,spearman_p_value
raw_abs_change,Absolute monthly change,0,16,0.09371623808402853,0.729930664431459,0.08823529411764705,0.746217806756849
raw_abs_change,Absolute monthly change,1,16,0.013674687347646724,0.9599123707908191,0.1764705882352941,0.5121639082721766
raw_abs_change,Absolute monthly change,2,15,0.3246377030614294,0.2377791773566246,0.26428571428571423,0.340147418837509
raw_abs_change,Absolute monthly change,3,14,0.0666227614404129,0.8209771852476495,0.12087912087912088,0.6817682306946782
raw_abs_change,Absolute monthly change,4,13,0.1456905434683605,0.6348486934279163,0.2197802197802198,0.47035256220702126
raw_level,Price level,0,16,0.39917681023497115,0.12560048820471262,0.38235294117647056,0.14466954521804953
raw_level,Price level,1,16,0.506083471218406,0.04548159792334115,0.5970588235294118,0.01659866455284195
raw_level,Price level,2,16,0.5094057906091097,0.043852998568030425,0.47647058823529415,0.06419082716012989
raw_level,Price level,3,15,0.5955991047947407,0.019141376990988387,0.6249999999999999,0.014859736233940376
raw_level,Price level,4,14,0.5987855754518133,0.02366341610408678,0.6,0.026174312532748222
raw_pct_change,Percentage monthly change,0,16,0.08215386971220087,0.7622935777428699,0.10294117647058823,0.704932776937798
raw_pct_change,Percentage monthly change,1,16,0.02496996601080496,0.9268638775449698,0.19117647058823528,0.47692825623999363
raw_pct_change,Percentage monthly change,2,15,0.28938611893371724,0.2954901790447405,0.2428571428571428,0.38199151997360614
raw_pct_change,Percentage monthly change,3,14,0.044526470500991955,0.8798627943079559,0.0945054945054945,0.7500182955644606
raw_pct_change,Percentage monthly change,4,13,0.1415471289517352,0.6446076484468753,0.15384615384615385,0.6167911749829176
smoothed_abs_change,Absolute monthly change,0,16,0.3349776800926738,0.20470862025074146,0.3764705882352941,0.15134873705416368
smoothed_abs_change,Absolute monthly change,1,16,0.32982034657799003,0.21220048276120412,0.3558823529411764,0.1764133626929142
smoothed_abs_change,Absolute monthly change,2,15,0.44892729090278116,0.0932323864160739,0.46428571428571425,0.08343042730157467
smoothed_abs_change,Absolute monthly change,3,14,0.32742157908539554,0.2531492251551611,0.3010989010989011,0.29502725098973737
smoothed_abs_change,Absolute monthly change,4,13,0.1190123401807535,0.6985716267052096,-0.03296703296703297,0.9205854473516978
smoothed_level,Price level,0,16,0.3075487481706775,0.24655290123188311,0.22941176470588234,0.39137042214066825
smoothed_level,Price level,1,16,0.3922535303325406,0.13290866054288863,0.23235294117647057,0.3851680630241374
smoothed_level,Price level,2,16,0.3919865419647689,0.13319621149460675,0.18529411764705883,0.49087375528515115
smoothed_level,Price level,3,15,0.520315853300126,0.04676997435270451,0.4107142857142856,0.12969151299000617
smoothed_level,Price level,4,14,0.5889440070802674,0.02669213589870588,0.6043956043956044,0.024890232021744587
smoothed_pct_change,Percentage monthly change,0,16,0.36885758849577216,0.15975157914329857,0.39705882352941174,0.12888258311119158
smoothed_pct_change,Percentage monthly change,1,16,0.36234115960927304,0.16783122423914834,0.4323529411764706,0.09606313836167579
smoothed_pct_change,Percentage monthly change,2,15,0.45613585638543075,0.08746339742136273,0.49642857142857133,0.062283635114077
smoothed_pct_change,Percentage monthly change,3,14,0.32884255233073634,0.2509729939229394,0.30549450549450546,0.2877382390697336
smoothed_pct_change,Percentage monthly change,4,13,0.12104013948739659,0.6936575205142472,-0.038461538461538464,0.9062021238782842
