month,n_listings,portal_raw_level,portal_mean_level,portal_median_level,portal_smooth_level,portal_raw_abs_change,portal_raw_pct_change,portal_smooth_abs_change,portal_smooth_pct_change
2024-04-01,29,969766.8,1012947,855492,969766.8,NA,NA,NA,NA
2024-05-01,133,888480.5981308412,921519.1578947369,866834,929123.6990654205,-81286.20186915889,-0.08382035956392697,-40643.1009345795,-0.04191017978196354
2024-06-01,237,866164.22513089,888587.94092827,852946,908137.2077539105,-22316.372999951127,-0.025117456753585454,-20986.491311510094,-0.022587402875009932
2024-07-01,199,937982.1366459627,970667.5175879397,866434,897542.3199692313,71817.91151507269,0.08291489007667097,-10594.887784679187,-0.011666615676813263
2024-08-01,207,943805.2275449102,981297.7487922705,878876,915983.8631072543,5823.090898947441,0.006208104260673419,18441.543138023,0.020546711534064732
2024-09-01,133,890720.3831775701,928228.1428571428,868454,924169.2491228143,-53084.84436734009,-0.056245550266158184,8185.386015560012,0.008936168359771068
2024-10-01,293,914942.5319148937,946707.4334470989,904310,916489.3808791246,24222.148737323587,0.02719388620131613,-7679.868243689649,-0.00831002357087629
2024-11-01,293,770192.5574468086,807242.9761092151,736616,858618.4908464241,-144749.9744680851,-0.15820662983623268,-57870.890032700496,-0.06314409227217554
2024-12-01,242,893617.3298969072,927952.3801652893,870256,859584.1397528698,123424.77245009865,0.1602518373577282,965.6489064457128,0.0011246542169081053
2025-01-01,246,843583.8838383838,887710.8739837399,801419,835797.9237273665,-50033.446058523376,-0.055989789347858254,-23786.216025503352,-0.027671771645695897
2025-02-01,533,738817.037470726,793715.7917448406,712800,825339.4170686724,-104766.84636765788,-0.12419256504872889,-10458.506658694125,-0.01251320009512924
2025-03-01,522,689945.3923444976,739743.2068965518,646802,757448.7712178691,-48871.64512622834,-0.06614850855840582,-67890.64585080324,-0.0822578498576112
2025-04-01,618,695607.4657258064,734464.504854369,657717,708123.2985136766,5662.073381308815,0.008206552930324795,-49325.47270419251,-0.06512053960412956
2025-05-01,635,721118.6679764243,761937.5921259843,709651,702223.8420155761,25511.202250617906,0.03667471024624369,-5899.456498100539,-0.008331114807948348
2025-06-01,466,711649.8983957219,751847.1824034335,677895,709458.6773659842,-9468.769580702414,-0.01313066767120774,7234.835350408102,0.01030274809474152
2025-07-01,556,690920.0919282511,739503.7194244604,658827,707896.2194334657,-20729.80646747083,-0.02912922001984708,-1562.457932518446,-0.002202324085060714
2025-08-01,707,775801.9171075837,815984.5898161245,759897,726123.9691438522,84881.82517933263,0.12285331715052683,18227.749710386503,0.025749183580856316
2025-09-01,560,733859.21875,772836.4785714286,713322.5,733527.0759286116,-41942.69835758372,-0.05406366938864804,7403.106784759322,0.010195375857772637
2025-10-01,945,728020.5231175694,764033.8613756613,716475,745893.8863250511,-5838.695632430608,-0.007956152192754029,12366.810396439512,0.01685937820466088
2025-11-01,866,734911.3602305475,775691.2413394919,721867.5,732263.7006993723,6890.837112978101,0.009465168761273013,-13630.185625678743,-0.018273625612931887
2025-12-01,601,719074.0478170478,749619.7720465891,701945,727335.3103883882,-15837.31241349969,-0.02154996271731524,-4928.390310984105,-0.006730349061788932
2026-01-01,652,753466.653256705,803462.4417177914,736348.5,735817.3537681001,34392.60543965723,0.04782901780987037,8482.043379711919,0.01166180612788148
2026-02-01,744,732390.3087248323,767475.3293010753,695849,734977.0032661951,-21076.344531872775,-0.027972498106949573,-840.350501905079,-0.001142063988572306
2026-03-01,1199,731541.5192507805,766158.434528774,710907,739132.8270774393,-848.789474051795,-0.0011589305100576652,4155.8238112442195,0.005654358970111906
2026-04-01,632,717617.4802371542,756063.4493670886,695762,727183.1027375889,-13924.039013626287,-0.019033832868279088,-11949.724339850363,-0.016167221779473717
