Հրապարակվել է,Թարմացվել է,Մարզ,Համայնք,Գին (֏),Գին ($),Տան մակերես (մ²),Հողատարածքի մակերես (մ²),մ² գին (֏),Սենյակներ,Հարկ,Տեսակ,Հղում
2025-11-07,2025-11-12,Երևան,Ավան,30569600,80000,63,0,485231,3,"=""1/2""",Բնակարան,https://www.senyak.am/3-senyakanoc-sepakan-tun-avanum-avtotnakov--wd2l
2024-12-27,2025-11-16,Երևան,Կենտրոն,51586200,135000,52,0,992042,2,"=""14/14""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--qjq9
2025-10-13,2025-11-16,Երևան,Քանաքեռ Զեյթուն,27894760,73000,57,0,489381,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--wezu
2024-11-11,2025-11-16,Երևան,Նոր Նորք,30569600,80000,60,0,509493,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-5-rd-masivum--qcgt
2025-10-11,2025-11-16,Երևան,Արաբկիր,31715960,83000,48,0,660749,1,"=""4/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-komitasum--we8u
2025-10-11,2025-11-16,Երևան,Ավան,32480200,85000,65,0,499695,2,"=""1/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-avanum--we80
2025-11-13,2025-11-16,Երևան,Նոր Նորք,27894760,73000,57,0,489381,1,"=""2/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-nor-norqum--w1mm
2025-11-10,2025-11-16,Երևան,Արաբկիր,25219920,66000,32,0,788122,1,"=""3/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-komitasum--w1dk
2025-11-13,2025-11-16,Երևան,Ավան,30569600,80000,64,0,477650,3,"=""3/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-avanum--w1jx
2025-11-10,2025-11-16,Երևան,Քանաքեռ Զեյթուն,27512640,72000,48,0,573180,2,"=""4/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--w1da
2025-11-10,2025-11-16,Երևան,Նոր Նորք,29805360,78000,62,0,480731,2,"=""10/12""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-nor-norqum--w1dn
2025-11-16,NA,Երևան,Մալաթիա Սեբաստիա,80245200,210000,100,0,802452,3,"=""17/17""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-malatia-sebastiayum--w1s9
2025-11-16,NA,Երևան,Կենտրոն,66871000,175000,91,0,734846,3,"=""2/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-kentronum--w1s6
2025-11-16,NA,Երևան,Դավթաշեն,61139200,160000,110,0,555810,3,"=""12/18""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--w1sg
2025-11-16,NA,Երևան,Դավթաշեն,70692200,185000,110,0,642656,3,"=""14/18""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-davtashenum--w1sw
2025-10-20,2025-11-16,Երևան,Կենտրոն,136416840,357000,135,0,1010495,4,"=""3/5""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-kentronum--we2f
2025-11-16,NA,Երևան,Դավթաշեն,45854400,120000,109,0,420682,4,"=""1/4""",Բնակարան,https://www.senyak.am/4-senyakanoc-bnakarani-vacharq-davtashenum--w1al
2024-10-10,2025-11-16,Երևան,Արաբկիր,63049800,165000,88,0,716475,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-arabkirum--qi5p
2025-09-01,2025-11-16,Երևան,Մալաթիա Սեբաստիա,30187480,79000,72,0,419270,3,"=""9/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-bangladeshum--wwjp
2025-03-20,2025-11-16,Երևան,Արաբկիր,56553760,148000,78,0,725048,3,"=""3/4""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-komitasum--qr0u
2025-09-27,2025-11-16,Երևան,Քանաքեռ Զեյթուն,38976240,102000,78,0,499695,3,"=""3/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-zeytunum--w614
2025-07-03,2025-11-16,Երևան,Արաբկիր,56553760,148000,78,0,725048,3,"=""3/4""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-komitasum--ql11
2025-10-16,2025-11-16,Երևան,Արաբկիր,72250000,189076,85,0,850000,3,"=""4/9""",Բնակարան,https://www.senyak.am/3-senyakanoc-norakaruyc-bnakarani-vacharq-arabkirum--wesx
