community,community_en,n_listings,median_sqm_price,median_silence_days,eligible_90_n,long_silent_90_share_eligible,eligible_180_n,very_long_silent_180_share_eligible,median_price_premium_pct
Շենգավիթ,Shengavit,470,573180,175,343,0.9358600583090378,264,0.8333333333333334,0
Էրեբունի,Erebuni,273,558760,142,173,0.9595375722543352,118,0.8050847457627118,0
Ավան,Avan,461,532044,161,339,0.9498525073746312,231,0.7965367965367965,0
Մալաթիա Սեբաստիա,Malatia-Sebastia,951,560003,170,725,0.9503448275862069,563,0.7921847246891652,0
Արաբկիր,Arabkir,3500,784710,174.5,2801,0.9396644055694395,2150,0.7906976744186046,0
Դավթաշեն,Davtashen,658,683239,176,522,0.9616858237547893,400,0.7825,0
Կենտրոն,Kentron,2476,1117140,197,2076,0.9378612716763006,1757,0.7820147979510529,0
Աջափնյակ,Ajapnyak,1007,569127,172,779,0.962772785622593,619,0.7576736672051696,0
Նոր Նորք,Nor Nork,938,540435.5,137.5,589,0.9558573853989814,404,0.7252475247524752,0
Քանաքեռ Զեյթուն,Kanaker-Zeytun,1099,648239,159,776,0.9265463917525774,565,0.7115044247787611,0
Նորք Մարաշ,Nork-Marash,67,748988,161,44,0.9545454545454546,34,0.7058823529411765,-1.3161759600954888
