term,estimate_log_odds,std_error,z_value,p_value,odds_ratio,conf_low,conf_high
published_quarter2025-10-01,-1.2818027532155627,0.1487733317712343,-8.615809957032921,6.944887035649784e-18,0.2775365193437583,0.20733934430901851,0.3714997740836298
(Intercept),3.553803993215541,0.5226561641547693,6.799506514885733,1.0497811791441858e-11,34.945999311518186,12.54595008957249,97.34000686768582
log_area_sqm,-0.6363730306546864,0.14194949321929168,-4.483094769993867,7.356823690650584e-6,0.5292083699392448,0.40067925388407927,0.6989668072377349
communityԱրաբկիր,0.31051659995022646,0.11166560955765913,2.780771995785234,0.00542298097431378,1.3641296414419941,1.0959833592200956,1.697881325483672
communityՇենգավիթ,0.518124632427011,0.1944518677872667,2.6645392421421596,0.007709387099189122,1.678876185588213,1.1468269690816146,2.457759821250453
communityԱվան,0.47157951873261605,0.1941108790350635,2.4294337395042738,0.01512242883201427,1.6025234109651887,1.0954028507344584,2.3444171986311937
published_quarter2024-07-01,0.3958780259398688,0.17737645837367147,2.2318521272191,0.02562473779497477,1.4856880910905919,1.0494016740640295,2.1033596177336857
rooms_numeric,0.12607919892045102,0.05754752639307608,2.190870864879093,0.028461138642520867,1.1343720057637086,1.0133746988901424,1.2698164349965466
published_quarter2025-07-01,-0.2951196379038956,0.13900922701777696,-2.1230219334012608,0.03375201394309845,0.7444425185955136,0.5668969584723906,0.9775932913561792
published_quarter2025-01-01,0.30638821253853366,0.14974356910429593,2.046085947939008,0.04074791528117795,1.3585095946497052,1.0129742618483069,1.821910376466878
communityԿենտրոն,0.212144289614858,0.11479099749947438,1.8480916991406875,0.06458907841872771,1.236326261249354,0.9872360930342445,1.548264528656963
published_quarter2024-10-01,0.2838567196403916,0.1601571786929924,1.7723633867484683,0.07633425539835811,1.328242606039983,0.970395701869611,1.818050530418507
price_premium_pct,-0.0018407419694977886,0.0010706261101226353,-1.7193135419487762,0.08555729546332311,0.9981609511569723,0.9960685792040811,1.0002577184100274
communityՄալաթիա Սեբաստիա,0.24212143628039284,0.14372144843925463,1.684657640941658,0.09205464347371431,1.2739488870375117,0.9612001657678713,1.6884576434582663
communityԷրեբունի,0.4288522828369447,0.25865606821129694,1.6580020171288383,0.09731705923219319,1.535494198797072,0.9248593465113919,2.549298380811055
communityԴավթաշեն,0.18164952384000121,0.15719829814912306,1.1555438320819669,0.24786779393398364,1.199193831371539,0.8812101545858029,1.6319215543714294
published_quarter2025-04-01,0.14985986526731418,0.14323031522408683,1.0462859418612274,0.29542903401701315,1.1616714408046216,0.8773304579948559,1.5381667467299969
communityՔանաքեռ Զեյթուն,-0.09114663450371917,0.1362581717095612,-0.6689260053921847,0.503542680380896,0.9128838408155678,0.6989244321850681,1.1923419306102014
communityՆորք Մարաշ,-0.1578060766094933,0.3951366134170526,-0.39937092957501924,0.6896199107551713,0.85401537946928,0.39365757801051343,1.8527327025077098
communityՆոր Նորք,-0.04171359331081071,0.15165291755668944,-0.27505961627950704,0.7832704368167954,0.9591444466229215,0.7125157144444456,1.2911407437587383
communityՆուբարաշեն,10.580275319974113,139.27058727142526,0.07596920158995348,0.9394436009379256,39350.947013554425,1.110294026850535e-114,13946729365518678e107
