term,estimate_log_odds,std_error,z_value,p_value,odds_ratio,conf_low,conf_high
published_quarter2025-10-01,-2.8598413648030268,0.18314175466476115,-15.615452467614134,5.713833245859003e-55,0.05727784582715836,0.040003064954308006,0.08201250645036917
published_quarter2025-07-01,-1.0612059236864226,0.144177590766873,-7.360408216297167,1.8334866519098154e-13,0.34603826287786466,0.2608541078783836,0.4590400371665106
log_area_sqm,-0.5588218190007578,0.16045334484372836,-3.4827682747593434,4.962577158855753e-4,0.5718824481208195,0.4175669555834963,0.7832265702434521
price_premium_pct,-0.0033199725693782234,0.0012251443642952715,-2.7098623363361267,0.006731113931734191,0.996685532445701,0.9942950796914919,0.9990817322507473
published_quarter2025-04-01,-0.34975749726832206,0.1463154693155949,-2.390434168747484,0.01682846576528536,0.704858999227625,0.529122228987124,0.9389630251279032
communityՄալաթիա Սեբաստիա,0.3557557681664404,0.1599734213088427,2.223842968761809,0.02615901128678855,1.4272589236290787,1.0431112798328355,1.9528770079116469
communityԱրաբկիր,0.2713842654676459,0.12572738269051972,2.1585136003002883,0.03088792216148544,1.3117790449365287,1.0252726686349287,1.67834793160502
published_quarter2024-10-01,0.3259477575068115,0.16136266588830184,2.0199700823760462,0.04338649089903408,1.385342993210372,1.0097239052713578,1.9006930496721326
communityԱվան,0.41076403966851743,0.22124642024717264,1.8565906703015533,0.0633694122997333,1.5079694935933639,0.9773807944058948,2.326597787293815
communityՇենգավիթ,0.3791247963369701,0.22237627504559584,1.704879696627865,0.08821686375490916,1.4610053524832483,0.9448465905089661,2.259135674961664
communityՆոր Նորք,-0.26608818811020285,0.17535624705734862,-1.5174149343147223,0.12916195570475625,0.7663715396630449,0.5434669236390606,1.0807011636932182
communityԿենտրոն,0.18334898987108583,0.12891136303660888,1.4222872643043691,0.15494287455798111,1.2012335532807654,0.9330305995934756,1.5465323968541191
communityԷրեբունի,0.2700132576066869,0.3095089781747492,0.8723923267073597,0.3829943851506092,1.3099818178418319,0.714177077551761,2.402838759483732
published_quarter2024-07-01,0.12351308962936866,0.1808542394808383,0.6829427387708819,0.4946430261914663,1.1314648149002182,0.7937702480445933,1.6128251600647847
communityՆորք Մարաշ,0.16803383659009694,0.43184000247406884,0.38911132740693016,0.6971937944496753,1.1829766378662046,0.5074421481997325,2.75781925230697
communityԴավթաշեն,0.04741225005972877,0.17576222610114162,0.26975221645432274,0.7873508861349183,1.0485541865169683,0.7429832984139575,1.479798919315259
published_quarter2025-01-01,-0.031848841852987114,0.1522909469486547,-0.20913155043763065,0.8343455455369173,0.9686529908046715,0.7186799892524393,1.3055722026862466
rooms_numeric,0.009597034816238284,0.06575614740992516,0.1459488609697611,0.8839617590510269,1.0096432340284138,0.8875547990704756,1.1485256584572996
(Intercept),23.04809630829327,214.23231272968346,0.10758459363399193,0.9143252185495467,10224946517.438866,4.481619363063072e-173,2332851650592443e177
communityՔանաքեռ Զեյթուն,-0.01486150824833587,0.15422513679398908,-0.09636242545978468,0.9232327333454969,0.9852483789288061,0.7282267741314825,1.3329836290893862
was_updatedUpdated,-19.539915566898493,214.23151084849053,-0.09120934399196565,0.9273262504716924,3.265295519771394e-9,1.433438254150919e-191,7438168194942091e158
communityՆուբարաշեն,18.29363543613743,6315.805552357643,0.002896484903546239,0.9976889426463463,88069376.93828806,0,Inf
