published_month,n_listings,very_long_silent_180_share,median_silence_days,median_price_premium_pct
2024-05-01,126,0.8809523809523809,373,-0.404446434085335
2024-06-01,231,0.7445887445887446,275,0
2024-07-01,189,0.8624338624338624,421,0
2024-08-01,199,0.8492462311557789,408,0
2024-09-01,122,0.819672131147541,396,-0.07343581702382844
2024-10-01,274,0.8394160583941606,270,0.5139721675127453
2024-11-01,279,0.7956989247311828,287,0.17627453337003565
2024-12-01,232,0.8836206896551724,291.5,1.3213603751847929
2025-01-01,231,0.7878787878787878,363,0.17056580262635393
2025-02-01,521,0.8195777351247601,375,0
2025-03-01,509,0.8821218074656189,390,0
2025-04-01,606,0.8795379537953796,356,0
2025-05-01,615,0.7609756097560976,312,0
2025-06-01,455,0.8153846153846154,287,0
2025-07-01,546,0.7802197802197802,266,0
2025-08-01,688,0.7805232558139535,240,0
2025-09-01,543,0.6611418047882136,203,0
2025-10-01,713,0.5259467040673211,180,0
