Հրապարակվել է,Թարմացվել է,Մարզ,Համայնք,Գին (֏),Գին ($),Տան մակերես (մ²),Հողատարածքի մակերես (մ²),մ² գին (֏),Սենյակներ,Հարկ,Տեսակ,Հղում
16/11/2025,,Երևան,Շենգավիթ,250000,654,80,0,3125.0,4,"=""1/1""",Բնակարան,https://www.senyak.am/vardzov-4-senyakanoc-bnakaran-shengavitum--w1sh
08/09/2025,16/11/2025,Երևան,Կենտրոն,300000,785,56,0,5357.0,2,"=""6/11""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-norakaruyc-bnakaran-kentronum--wwnb
16/11/2025,,Երևան,Շենգավիթ,180000,471,50,0,3600.0,1,"=""2/5""",Բնակարան,https://www.senyak.am/vardzov-1-senyakanoc-bnakaran-3-rd-masum--w1sc
16/11/2025,,Երևան,Մալաթիա Սեբաստիա,150000,392,54,0,2777.0,1,"=""1/9""",Բնակարան,https://www.senyak.am/vardzov-1-senyakanoc-bnakaran-bangladeshum--w1sy
16/11/2025,,Երևան,Մալաթիա Սեբաստիա,160000,418,60,0,2666.0,1,"=""1/9""",Բնակարան,https://www.senyak.am/vardzov-1-senyakanoc-bnakaran-bangladeshum--w1sf
01/10/2025,16/11/2025,Երևան,Արաբկիր,230000,601,65,0,3538.0,2,"=""2/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-arabkirum--w6jh
13/11/2025,16/11/2025,Երևան,Կենտրոն,320000,837,55,0,5818.0,2,"=""5/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-kentronum--w1zp
13/11/2025,16/11/2025,Երևան,Կենտրոն,300000,785,80,0,3750.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/vardzov-3-senyakanoc-bnakaran-kentronum--w1zc
13/11/2025,16/11/2025,Երևան,Արաբկիր,200000,523,60,0,3333.0,2,"=""5/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-arabkirum--w1z0
22/09/2025,16/11/2025,Երևան,Նոր Նորք,200000,523,80,0,2500.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-1-in-masivum--wgv4
24/07/2025,16/11/2025,Երևան,Նոր Նորք,200000,523,50,0,4000.0,2,"=""5/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-2-rd-masivum--qtbq
12/06/2025,16/11/2025,Երևան,Շենգավիթ,200000,523,58,0,3448.0,2,"=""4/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran--q7pt
12/06/2025,16/11/2025,Երևան,Շենգավիթ,200000,523,58,0,3448.0,2,"=""4/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-areshum--q7aw
16/06/2025,16/11/2025,Երևան,Նոր Նորք,53496800,140000,41,0,1304800.0,1,"=""10/12""",Բնակարան,https://www.senyak.am/vardzov-1-senyakanoc-bnakaran-nor-norqum--q2qd
16/06/2025,16/11/2025,Երևան,Նոր Նորք,53496800,140000,42,0,1273733.0,1,"=""10/12""",Բնակարան,https://www.senyak.am/vardzov-1-senyakanoc-bnakaran-nor-norqum--q2qe
24/06/2025,16/11/2025,Երևան,Նոր Նորք,160000,418,67,0,2388.0,2,"=""2/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-2-rd-masivum--q250
13/11/2024,16/11/2025,Երևան,Նոր Նորք,200000,523,65,0,3076.0,2,"=""4/12""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-nor-norqum--qcze
13/11/2025,16/11/2025,Երևան,Նոր Նորք,130000,340,47,0,2765.0,1,"=""2/5""",Բնակարան,https://www.senyak.am/vardzov-1-senyakanoc-bnakaran-5-rd-masivum--w1mj
12/08/2025,16/11/2025,Երևան,Արաբկիր,250000,654,75,0,3333.0,2,"=""5/16""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-norakaruyc-bnakaran-komitasum--wq1s
08/11/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,170000,444,56,0,3035.0,2,"=""3/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--w1wb
20/10/2025,16/11/2025,Երևան,Նոր Նորք,230000,601,65,0,3538.0,2,"=""5/12""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-nor-norqum--w94d
08/11/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,160000,418,68,0,2352.0,2,"=""1/9""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-zeytunum--w1wj
06/04/2025,16/11/2025,Երևան,Նոր Նորք,180000,471,76,0,2368.0,3,"=""5/9""",Բնակարան,https://www.senyak.am/vardzov-3-senyakanoc-bnakaran-8-rd-masivum--qaw6
25/05/2025,16/11/2025,Երևան,Նոր Նորք,200000,523,52,0,3846.0,2,"=""4/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-3-rd-masivum--qn8b
11/10/2025,16/11/2025,Երևան,Նոր Նորք,180000,471,79,0,2278.0,3,"=""4/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-1-in-masivum--we8b
09/03/2025,16/11/2025,Երևան,Նոր Նորք,170000,444,67,0,2537.0,2,"=""5/9""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-8-rd-masivum--q0ad
22/07/2025,16/11/2025,Շիրակ,Գյումրի,200000,523,60,0,3333.0,2,"=""2/3""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-norakaruyc-bnakaran-gyumrium--qtol
04/09/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,180000,471,56,0,3214.0,2,"=""3/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-zeytunum--ww0z
03/09/2025,16/11/2025,Երևան,Արաբկիր,300000,785,108,0,2777.0,3,"=""1/5""",Բնակարան,https://www.senyak.am/vardzov-3-senyakanoc-bnakaran-arabkirum--ww3a
19/09/2025,16/11/2025,Երևան,Նոր Նորք,250000,654,68,0,3676.0,2,"=""11/12""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-1-in-masivum--wg57
18/08/2025,16/11/2025,Երևան,Նոր Նորք,130000,340,46,0,2826.0,1,"=""2/5""",Բնակարան,https://www.senyak.am/vardzov-1-senyakanoc-bnakaran-5-rd-masivum--wq5k
29/10/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,160000,418,68,0,2352.0,2,"=""1/9""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-zeytunum--wdqm
19/09/2025,16/11/2025,Երևան,Նոր Նորք,130000,340,56,0,2321.0,2,"=""4/5""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-arabkirum--wg53
26/04/2025,16/11/2025,Երևան,Արաբկիր,250000,654,55,0,4545.0,2,"=""14/16""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-norakaruyc-bnakaran-arabkirum--qs2f
02/11/2025,16/11/2025,Երևան,Նոր Նորք,170000,444,68,0,2500.0,2,"=""4/9""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-7-rd-masivum--wdcw
18/08/2025,16/11/2025,Երևան,Նոր Նորք,200000,523,72,0,2777.0,2,"=""7/9""",Բնակարան,https://www.senyak.am/vardzov-2-senyakanoc-bnakaran-nor-norqum--wq37
05/11/2025,16/11/2025,Երևան,Արաբկիր,200000,523,85,0,2352.0,3,"=""1/5""",Բնակարան,https://www.senyak.am/vardzov-3-senyakanoc-bnakaran-komitasum--wdph
