Հրապարակվել է,Թարմացվել է,Մարզ,Համայնք,Գին (֏),Գին ($),Տան մակերես (մ²),Հողատարածքի մակերես (մ²),մ² գին (֏),Հղում
16/11/2025,,Երևան,Կենտրոն,575000,1504,126,0,4563.0,https://www.senyak.am/vardzov-komercion-taratsq-kentronum--w1sd
02/10/2025,16/11/2025,Երևան,Արաբկիր,450000,1177,50,0,9000.0,https://www.senyak.am/vardzov-norakaruyc-ofisayin-taratsq-arabkirum--w6b5
02/03/2025,16/11/2025,Երևան,Դավթաշեն,200000,523,42,0,4761.0,https://www.senyak.am/vardzov-ofisayin-taratsq-davtashenum--q0wl
26/12/2024,16/11/2025,Երևան,Կենտրոն,200000,523,20,0,10000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--qmku
16/11/2025,,Երևան,Արաբկիր,600000,1570,55,0,10909.0,https://www.senyak.am/vardzov-arevtri-taratsq-komitasum--w1p2
25/10/2025,16/11/2025,Երևան,Կենտրոն,220000,575,24,0,9166.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--w90e
09/11/2025,16/11/2025,Երևան,Մալաթիա Սեբաստիա,160000,418,85,0,1882.0,https://www.senyak.am/vardzov-ofisayin-taratsq-bangladeshum--w19x
08/04/2025,15/11/2025,Երևան,Կենտրոն,150000,392,180,0,833.0,https://www.senyak.am/vardzov-pahest-kentronum--qae2
15/11/2025,,Կոտայք,Քանաքեռավան գյուղ,350000,915,1700,0,205.0,https://www.senyak.am/vardzov-artadramas--w10v
18/10/2025,15/11/2025,Երևան,Կենտրոն,850000,2224,112,0,7589.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wel9
18/10/2025,15/11/2025,Երևան,Կենտրոն,840664,2200,112,0,7505.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--wel1
09/10/2025,15/11/2025,Երևան,Էրեբունի,350000,915,210,0,1666.0,https://www.senyak.am/vardzov-arevtri-taratsq-kayaranum--wed6
27/10/2025,15/11/2025,Երևան,Կենտրոն,380000,994,40,0,9500.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--w9fo
22/10/2025,15/11/2025,Երևան,Կենտրոն,350000,915,40,0,8750.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--w9y0
15/11/2025,,Երևան,Դավթաշեն,4400000,11514,580,0,7586.0,https://www.senyak.am/vardzov-norakaruyc-ofisayin-taratsq-davtashenum--w10f
28/07/2025,14/11/2025,Երևան,Կենտրոն,200000,523,48,0,4166.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--qt7q
26/07/2025,13/11/2025,Երևան,Արաբկիր,480000,1256,121,0,3966.0,https://www.senyak.am/vardzov-ofisayin-taratsq-arabkirum--qta2
15/11/2025,,Երևան,Արաբկիր,500000,1308,52,0,9615.0,https://www.senyak.am/vardzov-ofisayin-taratsq-komitasum--w10b
16/09/2025,14/11/2025,Երևան,Դավթաշեն,300000,785,60,0,5000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-16-kvartalum--wgy4
08/09/2025,14/11/2025,Երևան,Արաբկիր,1500000,3925,200,0,7500.0,https://www.senyak.am/vardzov-ofisayin-taratsq-arabkirum--wwnc
13/05/2025,14/11/2025,Երևան,Կենտրոն,600000,1570,100,0,6000.0,https://www.senyak.am/vardzov-arevtri-taratsq-kentronum--qkxv
10/09/2025,14/11/2025,Երևան,Դավթաշեն,4320000,11305,1200,0,3600.0,https://www.senyak.am/vardzov-arevtri-taratsq-davtashenum--wwlt
02/10/2025,13/11/2025,Երևան,Շենգավիթ,270000,706,35,0,7714.0,https://www.senyak.am/vardzov-ofisayin-taratsq-3-rd-masum--w6un
20/03/2025,14/11/2025,Երևան,Կենտրոն,600000,1570,90,0,6666.0,https://www.senyak.am/vardzov-arevtri-taratsq-kentronum--qr5h
09/08/2025,14/11/2025,Երևան,Արաբկիր,300000,785,55,0,5454.0,https://www.senyak.am/vardzov-arevtri-taratsq-komitasum--w42k
25/01/2025,14/11/2025,Երևան,Մալաթիա Սեբաստիա,պայմանական,negotiable,120,0,,https://www.senyak.am/vardzov-arevtri-taratsq-malatia-sebastiayum--quka
05/09/2025,14/11/2025,Երևան,Կենտրոն,200000,523,35,0,5714.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wwrb
17/04/2025,12/11/2025,Երևան,Կենտրոն,260000,680,37,0,7027.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--qsw8
06/11/2025,13/11/2025,Երևան,Կենտրոն,570000,1491,45,0,12666.0,https://www.senyak.am/vardzov-komercion-taratsq-kentronum--wdad
24/06/2025,11/11/2025,Երևան,Կենտրոն,590000,1544,100,0,5900.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--q252
16/09/2025,11/11/2025,Երևան,Աջափնյակ,282000,737,47,0,6000.0,https://www.senyak.am/ofisayin-taratsq-ajapnyakum-47qm--wg8h
20/08/2025,11/11/2025,Երևան,Աջափնյակ,318000,832,53,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-ajapnyakum--wqsb
11/11/2025,13/11/2025,Երևան,Աջափնյակ,312000,816,52,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-ajapnyakum--w18y
29/07/2025,11/11/2025,Երևան,Աջափնյակ,312000,816,52,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-ajapnyakum--qtt8
21/10/2025,11/11/2025,Երևան,Աջափնյակ,324000,847,54,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-ajapnyakum--w96o
13/11/2025,,Երևան,Արաբկիր,1150000,3009,300,0,3833.0,https://www.senyak.am/vardzov-ofisayin-taratsq-arabkirum--w1j6
07/04/2025,13/11/2025,Երևան,Կենտրոն,970000,2538,120,0,8083.0,https://www.senyak.am/vardzov-arevtri-taratsq-kentronum--qa6r
29/07/2025,11/11/2025,Երևան,Աջափնյակ,312000,816,52,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-ajapnyakum--qttm
07/08/2025,11/11/2025,Երևան,Աջափնյակ,117500,307,47,0,2500.0,https://www.senyak.am/vardzov-artadramas-ajapnyakum--w4v9
21/10/2025,10/11/2025,Երևան,Արաբկիր,1800000,4710,300,0,6000.0,https://www.senyak.am/vardzov-komercion-taratsq-arabkirum--w91a
10/06/2024,10/11/2025,Երևան,Քանաքեռ Զեյթուն,1200000,3140,110,0,10909.0,https://www.senyak.am/vardzov-arevtri-taratsq-zeytunum--qqfh
29/07/2025,11/11/2025,Երևան,Աջափնյակ,582000,1523,97,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-ajapnyakum--qtta
29/07/2025,11/11/2025,Երևան,Աջափնյակ,336000,879,56,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-ajapnyakum--qtt5
10/11/2025,,Երևան,Կենտրոն,250000,654,40,0,6250.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--w1dp
11/11/2025,,Երևան,Արաբկիր,6000000,15701,806,0,7444.0,https://www.senyak.am/vardzov-ofisayin-taratsq-arabkirum--w1fo
29/07/2025,11/11/2025,Երևան,Աջափնյակ,552000,1444,92,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-ajapnyakum--w44g
12/10/2023,11/11/2025,Երևան,Աջափնյակ,80000,209,29,0,2758.0,https://www.senyak.am/vardzov-spasarkman-taratsq-15-kvartalum--58i
30/07/2025,05/11/2025,Երևան,Քանաքեռ Զեյթուն,1500000,3925,280,0,5357.0,https://www.senyak.am/vardzov-norakaruyc-ofisayin-taratsq-monumentum--w46e
14/04/2025,05/11/2025,Երևան,Կենտրոն,3200000,8374,140,0,22857.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--qa3u
11/11/2025,,Երևան,Կենտրոն,1000000,2616,84,0,11904.0,https://www.senyak.am/vardzov-norakaruyc-ofisayin-taratsq-kentronum--w18j
03/11/2025,11/11/2025,Երևան,Արաբկիր,1200000,3140,100,0,12000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-arabkirum--wdzz
18/01/2024,05/11/2025,Երևան,Կենտրոն,8000,20,300,0,26.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--sd1
14/11/2023,05/11/2025,Երևան,Կենտրոն,1200000,3140,150,0,8000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--rwd
21/08/2025,10/11/2025,Երևան,Կենտրոն,200000,523,46,0,4347.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wqni
06/11/2025,,Երևան,Կենտրոն,575000,1504,78,0,7371.0,https://www.senyak.am/vardzov-norakaruyc-ofisayin-taratsq-kentronum--wdpn
28/10/2025,04/11/2025,Երևան,Կենտրոն,700000,1831,75,0,9333.0,https://www.senyak.am/vardzov-norakaruyc-arevtri-taratsq-kentronum--w92n
27/06/2025,05/11/2025,Երևան,Կենտրոն,575000,1504,120,0,4791.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--q2ks
09/05/2025,05/11/2025,Երևան,Կենտրոն,650000,1701,100,0,6500.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--qk4r
21/10/2025,04/11/2025,Երևան,Կենտրոն,1800000,4710,106,0,16981.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--w9du
08/10/2024,05/11/2025,Երևան,Կենտրոն,265000,693,22,0,12045.0,https://www.senyak.am/sdayu-v-arendu-ofis--qizl
18/04/2025,06/11/2025,Երևան,Կենտրոն,1650000,4318,121,0,13636.0,https://www.senyak.am/vardzov-arevtri-taratsq-kentronum--qse8
05/11/2025,,Երևան,Կենտրոն,650000,1701,180,0,3611.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wdpk
02/07/2025,04/11/2025,Երևան,Արաբկիր,2500000,6542,370,0,6756.0,https://www.senyak.am/vardzov-ofisayin-taratsq-arabkirum--ql69
26/07/2025,05/11/2025,Երևան,Կենտրոն,1200000,3140,200,0,6000.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--qtrl
21/12/2024,06/11/2025,Երևան,Կենտրոն,3800000,9944,163,0,23312.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--qmzn
07/11/2025,,Երևան,Կենտրոն,350000,915,90,0,3888.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wdto
11/03/2025,07/11/2025,Երևան,Նոր Նորք,պայմանական,negotiable,480,0,,https://www.senyak.am/vardzov-pahest-4-rd-masivum--q0nu
19/05/2025,07/11/2025,Երևան,Քանաքեռ Զեյթուն,350000,915,70,0,5000.0,https://www.senyak.am/vardzov-komercion-taratsq-zeytunum--qkk6
31/10/2025,05/11/2025,Երևան,Կենտրոն,300000,785,50,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wdev
30/01/2025,05/11/2025,Երևան,Կենտրոն,300000,785,18,0,16666.0,https://www.senyak.am/ofisayin-taratsq-kentronum-18qm--qbin
17/10/2025,05/11/2025,Երևան,Կենտրոն,290000,758,65,0,4461.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wekp
04/11/2025,,Երևան,Նուբարաշեն,450000,1177,300,0,1500.0,https://www.senyak.am/vardzov-arevtri-taratsq-nubarashenum--wdje
07/11/2025,,Երևան,Քանաքեռ Զեյթուն,900000,2355,125,0,7200.0,https://www.senyak.am/vardzov-ofisayin-taratsq-zeytunum--wdt8
05/11/2025,,Արմավիր,Էջմիածին քաղաք,1500000,3925,290,0,5172.0,https://www.senyak.am/vardzov-komercion-taratsq--wdpj
06/08/2025,05/11/2025,Երևան,Արաբկիր,850000,2224,40,0,21250.0,https://www.senyak.am/vardzov-komercion-taratsq-arabkirum--w4a4
07/11/2025,,Երևան,Կենտրոն,1146360,3000,60,0,19106.0,https://www.senyak.am/vardzov-norakaruyc-ofisayin-taratsq-kentronum--w14r
05/11/2025,,Երևան,Արաբկիր,6500000,17010,664,0,9789.0,https://www.senyak.am/vardzov-norakaruyc-ofisayin-taratsq-komitasum--wd0d
06/11/2025,,Երևան,Արաբկիր,900000,2355,500,0,1800.0,https://www.senyak.am/vardzov-artadramas-arabkirum--wdns
04/11/2025,,Երևան,Նուբարաշեն,200000,523,160,0,1250.0,https://www.senyak.am/vardzov-artadramas-nubarashenum--wdjf
05/11/2025,,Երևան,Արաբկիր,1500000,3925,210,0,7142.0,https://www.senyak.am/vardzov-shenq-shinutyun-arabkirum--wd0v
18/10/2025,03/11/2025,Երևան,Արաբկիր,2000000,5233,350,0,5714.0,https://www.senyak.am/vardzov-komercion-taratsq-arabkirum--we7h
05/11/2025,,Երևան,Կենտրոն,190000,497,25,0,7600.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wdpp
08/10/2025,04/11/2025,Երևան,Կենտրոն,1719540,4500,250,0,6878.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--wee0
11/08/2025,02/11/2025,Երևան,Կենտրոն,400000,1046,45,0,8888.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wqed
24/01/2025,30/10/2025,Երևան,Կենտրոն,1200000,3140,130,0,9230.0,https://www.senyak.am/vardzov-komercion-taratsq-kentronum--quvu
15/10/2025,31/10/2025,Երևան,Արաբկիր,1200000,3140,155,0,7741.0,https://www.senyak.am/vardzov-komercion-taratsq-monumentum--werr
03/10/2025,03/11/2025,Երևան,Կենտրոն,850000,2224,120,0,7083.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--w60z
01/11/2025,,Երևան,Արաբկիր,1600000,4187,360,0,4444.0,https://www.senyak.am/vardzov-ofisayin-taratsq-arabkirum--wdiq
15/10/2025,01/11/2025,Երևան,Կենտրոն,800000,2093,100,0,8000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wepi
01/11/2025,05/11/2025,Երևան,Կենտրոն,800000,2093,90,0,8888.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--wdx8
31/01/2025,30/10/2025,Երևան,Կենտրոն,2500000,6542,165,0,15151.0,https://www.senyak.am/vardzov-komercion-taratsq-hyusisayin-poxotayum--qbh3
12/08/2025,02/11/2025,Երևան,Կենտրոն,1100000,2878,200,0,5500.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wqdj
24/12/2024,05/11/2025,Երևան,Արաբկիր,19000000,49722,7778,0,2442.0,https://www.senyak.am/vardzov-arevtri-taratsq-qanaqerum--qmrl
18/10/2025,03/11/2025,Երևան,Կենտրոն,450000,1177,75,0,6000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--we7y
29/10/2025,,Երևան,Կենտրոն,480000,1256,102,0,4705.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--w9tl
31/10/2025,,Երևան,Կենտրոն,420000,1099,66,0,6363.0,https://www.senyak.am/vardzov-komercion-taratsq-kentronum--wd62
08/02/2025,20/10/2025,Երևան,Կենտրոն,3800000,9944,400,0,9500.0,https://www.senyak.am/vardzov-artadramas-kentronum--q3gj
29/10/2025,,Երևան,Կենտրոն,700000,1831,152,0,4605.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--w9l7
27/05/2025,31/10/2025,Երևան,Կենտրոն,400000,1046,55,0,7272.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--qnjm
09/07/2025,26/10/2025,Երևան,Կենտրոն,1000000,2616,200,0,5000.0,https://www.senyak.am/vardzov-komercion-taratsq-kentronum--qlu1
01/10/2025,27/10/2025,Երևան,Կենտրոն,850000,2224,112,0,7589.0,https://www.senyak.am/vardzov-komercion-taratsq-kentronum--w6jm
01/10/2025,01/11/2025,Երևան,Կենտրոն,1100000,2878,75,0,14666.0,https://www.senyak.am/vardzov-norakaruyc-ofisayin-taratsq-kentronum--w6mc
25/08/2023,31/10/2025,Երևան,Կենտրոն,250000,654,18,0,13888.0,https://www.senyak.am/sdayu-v-arendu-ofis--uvb
14/10/2025,30/10/2025,Երևան,Դավթաշեն,200000,523,40,0,5000.0,https://www.senyak.am/vardzov-komercion-taratsq-davtashenum--we3b
17/01/2025,30/10/2025,Երևան,Կենտրոն,420000,1099,250,0,1680.0,https://www.senyak.am/vardzov-komercion-taratsq-kentronum--qugu
29/10/2025,,Երևան,Կենտրոն,1316000,3443,94,0,14000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wd49
29/10/2025,,Երևան,Կենտրոն,200000,523,37,0,5405.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--w9t0
30/09/2025,27/10/2025,Երևան,Կենտրոն,460000,1203,40,0,11500.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--w6zm
05/02/2025,24/10/2025,Երևան,Կենտրոն,185000,484,21,0,8809.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--qbky
03/09/2025,26/10/2025,Երևան,Կենտրոն,750000,1962,100,0,7500.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wwbp
29/10/2025,,Երևան,Կենտրոն,2000000,5233,215,0,9302.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wd4g
29/10/2025,,Երևան,Կենտրոն,700000,1831,105,0,6666.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--w9tn
13/10/2025,27/10/2025,Երևան,Մալաթիա Սեբաստիա,450000,1177,130,0,3461.0,https://www.senyak.am/vardzov-norakaruyc-komercion-taratsq-malatia-sebastiayum--wem5
30/10/2025,,Երևան,Կենտրոն,2000000,5233,100,0,20000.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--wd6a
03/09/2025,26/10/2025,Երևան,Կենտրոն,350000,915,60,0,5833.0,https://www.senyak.am/vardzov-spasarkman-taratsq-kentronum--wwbr
09/09/2025,11/10/2025,Երևան,Կենտրոն,1910600,5000,520,0,3674.0,https://www.senyak.am/vardzov-ofisayin-taratsq-kentronum--ww2s
