Հրապարակվել է,Թարմացվել է,Մարզ,Համայնք,Գին (֏),Գին ($),Տան մակերես (մ²),Հողատարածքի մակերես (մ²),մ² գին (֏),Հղում
14/11/2025,,Սյունիք,Կապան,7260280,19000,25,0,290411.0,https://www.senyak.am/komercion-taratsq-kapanum-25qm--w1u3
27/12/2024,16/11/2025,Սյունիք,Կապան,12500000,32712,65,0,192307.0,https://www.senyak.am/arevtri-taratsq-kapanum-65qm--qj4v
03/08/2025,16/11/2025,Կոտայք,Զովք գյուղ,84066400,220000,2500,0,33626.0,https://www.senyak.am/artadramas-2500qm--w4zb
06/11/2025,16/11/2025,Տավուշ,Դիլիջան,764240000,2000000,1030,0,741980.0,https://www.senyak.am/shenq-shinutyun-dilijanum-1030qm--wd2j
23/11/2023,15/11/2025,Երևան,Արաբկիր,24837800,65000,21,0,1182752.0,https://www.senyak.am/ofisayin-taratsq-arabkirum-21qm--rbz
07/01/2025,15/11/2025,Երևան,Արաբկիր,61139200,160000,53,0,1153569.0,https://www.senyak.am/arevtri-taratsq-komitasum-53qm--qji6
13/11/2024,15/11/2025,Երևան,Շենգավիթ,64960400,170000,150,0,433069.0,https://www.senyak.am/artadramas-3-rd-masum-150qm--qcfi
09/05/2024,15/11/2025,Երևան,Քանաքեռ Զեյթուն,267484000,700000,500,0,534968.0,https://www.senyak.am/arevtri-taratsq-qanaqer-zeytunum-500qm--twk
06/11/2025,14/11/2025,Երևան,Աջափնյակ,955300000,2500000,3200,0,298531.0,https://www.senyak.am/artadramas-ajapnyakum-3200qm--wd78
21/09/2024,14/11/2025,Երևան,Շենգավիթ,53496800,140000,74,0,722929.0,https://www.senyak.am/arevtri-taratsq-charbaxum-78qm--qxeg
10/02/2025,12/11/2025,Երևան,Աջափնյակ,185328200,485000,198,0,936001.0,https://www.senyak.am/norakaruyc-ofisayin-taratsq-komitasum-198qm--q3db
23/06/2025,12/11/2025,Երևան,Շենգավիթ,40122600,105000,86,0,466541.0,https://www.senyak.am/komercion-taratsq-3-rd-masum-86qm--q2zy
06/10/2025,13/11/2025,Երևան,Կենտրոն,105083000,275000,80,0,1313537.0,https://www.senyak.am/arevtri-taratsq-kentronum-80qm--w6ln
10/05/2025,12/11/2025,Երևան,Մալաթիա Սեբաստիա,75659760,198000,150,0,504398.0,https://www.senyak.am/spasarkman-taratsq-bangladeshum-150qm--qk6y
05/02/2025,12/11/2025,Տավուշ,Դիլիջան,80245200,210000,3000,0,26748.0,https://www.senyak.am/shenq-shinutyun-dilijanum-3000qm--qbnq
13/11/2025,,Երևան,Շենգավիթ,15284800,40000,72,0,212288.0,https://www.senyak.am/ofisayin-taratsq-noragavitum-72qm--w1j4
03/04/2025,13/11/2025,Երևան,Շենգավիթ,պայմանական,negotiable,3000,0,,https://www.senyak.am/komercion-taratsq-charbaxum-3000qm--qpkf
04/02/2025,11/11/2025,Երևան,Կենտրոն,141384400,370000,220,0,642656.0,https://www.senyak.am/norakaruyc-ofisayin-taratsq-kentronum-220qm--qbpo
09/03/2024,11/11/2025,Երևան,Շենգավիթ,649604000,1700000,800,0,812005.0,https://www.senyak.am/prodayu-ofis-800kv-m--nwp
12/04/2025,11/11/2025,Երևան,Շենգավիթ,75659760,198000,122,0,620161.0,https://www.senyak.am/norakaruyc-arevtri-taratsq-3-rd-masum-122qm--qaux
09/03/2024,11/11/2025,Կոտայք,Պռոշյան գյուղ,649604000,1700000,575,0,1129746.0,https://www.senyak.am/norakaruyc-komercion-taratsq-575qm--nwv
07/11/2025,11/11/2025,Երևան,Ավան,101261800,265000,70,0,1446597.0,https://www.senyak.am/arevtri-taratsq-avanum-70qm--w14f
10/11/2025,,Երևան,Արաբկիր,1222784000,3200000,806,0,1517101.0,https://www.senyak.am/norakaruyc-ofisayin-taratsq-arabkirum-806qm--w1iw
25/04/2025,07/11/2025,Երևան,Մալաթիա Սեբաստիա,17195400,45000,23,0,747626.0,https://www.senyak.am/komercion-taratsq-bangladeshum-23qm--qsng
21/01/2025,07/11/2025,Երևան,Շենգավիթ,26748400,70000,50,0,534968.0,https://www.senyak.am/ofisayin-taratsq-3-rd-masum-50qm--qucn
26/03/2025,10/11/2025,Երևան,Շենգավիթ,343908000,900000,1700,0,202298.0,https://www.senyak.am/artadramas-hayreniqum-1700qm--qpgs
04/11/2025,,Երևան,Նուբարաշեն,57318000,150000,600,0,95530.0,https://www.senyak.am/arevtri-taratsq-nubarashenum-600qm--wdjd
