Հրապարակվել է,Թարմացվել է,Մարզ,Համայնք,Գին (֏),Գին ($),Տան մակերես (մ²),Հողատարածքի մակերես (մ²),մ² գին (֏),Սենյակներ,Հարկ,Տեսակ,Հղում
07/11/2025,12/11/2025,Երևան,Ավան,30569600,80000,63,0,485231.0,3,"=""1/2""",Բնակարան,https://www.senyak.am/3-senyakanoc-sepakan-tun-avanum-avtotnakov--wd2l
27/12/2024,16/11/2025,Երևան,Կենտրոն,51586200,135000,52,0,992042.0,2,"=""14/14""",Բնակարան,https://www.senyak.am/2-senyakanoc-norakaruyc-bnakarani-vacharq-kentronum--qjq9
13/10/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,27894760,73000,57,0,489381.0,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--wezu
11/11/2024,16/11/2025,Երևան,Նոր Նորք,30569600,80000,60,0,509493.0,2,"=""2/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-5-rd-masivum--qcgt
11/10/2025,16/11/2025,Երևան,Արաբկիր,31715960,83000,48,0,660749.0,1,"=""4/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-komitasum--we8u
11/10/2025,16/11/2025,Երևան,Ավան,32480200,85000,65,0,499695.0,2,"=""1/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-avanum--we80
13/11/2025,16/11/2025,Երևան,Նոր Նորք,27894760,73000,57,0,489381.0,1,"=""2/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-nor-norqum--w1mm
10/11/2025,16/11/2025,Երևան,Արաբկիր,25219920,66000,32,0,788122.0,1,"=""3/5""",Բնակարան,https://www.senyak.am/1-senyakanoc-bnakarani-vacharq-komitasum--w1dk
13/11/2025,16/11/2025,Երևան,Ավան,30569600,80000,64,0,477650.0,3,"=""3/5""",Բնակարան,https://www.senyak.am/3-senyakanoc-bnakarani-vacharq-avanum--w1jx
10/11/2025,16/11/2025,Երևան,Քանաքեռ Զեյթուն,27512640,72000,48,0,573180.0,2,"=""4/5""",Բնակարան,https://www.senyak.am/2-senyakanoc-bnakarani-vacharq-zeytunum--w1da
